id,title,category,price,discountPercentage,rating,stock,brand,sku,weight,warrantyInformation,shippingInformation,availabilityStatus,returnPolicy,minimumOrderQuantity,subcategory,width,height,depth,comment
78,Apple MacBook Pro 14 Inch Space Grey,laptops,1999.99,4.69,5,24,Apple,LAP-APP-APP-078,9,3 year warranty,Ships in 2 weeks,In Stock,90 days return policy,1,apple,20.03,9.54,14.82,Very happy with my purchase!
79,Asus Zenbook Pro Dual Screen Laptop,laptops,1799.99,11.14,4,45,Asus,LAP-ASU-ASU-079,9,3 year warranty,Ships in 1 month,In Stock,7 days return policy,1,None,16.6,11.49,10.89,Very happy with my purchase!
80,Huawei Matebook X Pro,laptops,1399.99,9.38,4,75,Huawei,LAP-HUA-HUA-080,9,No warranty,Ships overnight,In Stock,60 days return policy,1,None,18.21,22.83,17.26,Very satisfied!
81,Lenovo Yoga 920,laptops,1099.99,6.55,4,40,Lenovo,LAP-LEN-LEN-081,9,6 months warranty,Ships in 2 weeks,In Stock,No return policy,1,None,20.84,22.68,17.39,Would buy again!
82,New DELL XPS 13 9300 Laptop,laptops,1499.99,11.89,3,74,Dell,LAP-DEL-DEL-082,2,2 year warranty,Ships in 2 weeks,In Stock,60 days return policy,1,None,13.76,29.0,21.42,Poor quality!
83,Blue & Black Check Shirt,mens-shirts,29.99,15.35,1,38,Fashion Trends,MEN-FAS-BLU-083,4,3 year warranty,Ships in 3-5 business days,In Stock,30 days return policy,18,mens shirts,27.49,23.73,28.61,Waste of money!
84,Gigabyte Aorus Men Tshirt,mens-shirts,24.99,0.94,5,90,Gigabyte,MEN-GIG-GIG-084,4,3 year warranty,Ships overnight,In Stock,30 days return policy,16,mens t-shirts,22.31,26.47,13.27,Excellent quality!
85,Man Plaid Shirt,mens-shirts,34.99,19.5,3,82,Classic Wear,MEN-CLA-PLA-085,3,1 week warranty,Ships in 1-2 business days,In Stock,7 days return policy,13,mens shirts,9.34,5.97,10.85,Disappointing product!
86,Man Short Sleeve Shirt,mens-shirts,19.99,6.83,5,2,Casual Comfort,MEN-CAS-SHO-086,2,3 year warranty,Ships in 2 weeks,Low Stock,30 days return policy,4,mens shirts,5.02,16.57,9.6,Highly recommended!
87,Men Check Shirt,mens-shirts,27.99,11.38,3,95,Urban Chic,MEN-URB-CHE-087,10,No warranty,Ships in 1-2 business days,In Stock,30 days return policy,12,mens shirts,23.48,7.03,27.33,Would not recommend!
88,Nike Air Jordan 1 Red And Black,mens-shoes,149.99,4.12,5,7,Nike,MEN-NIK-NIK-088,3,1 year warranty,Ships in 1 week,In Stock,No return policy,1,athletic shoes,17.44,9.52,27.0,Highly impressed!
89,Nike Baseball Cleats,mens-shoes,79.99,18.04,5,12,Nike,MEN-NIK-NIK-089,9,6 months warranty,Ships in 2 weeks,In Stock,No return policy,3,sports cleats,11.75,26.65,19.6,Would buy again!
90,Puma Future Rider Trainers,mens-shoes,89.99,4.2,5,90,Puma,MEN-PUM-PUM-090,6,5 year warranty,Ships in 1-2 business days,In Stock,90 days return policy,10,casual shoes,17.45,15.58,23.13,Highly impressed!
91,Sports Sneakers Off White & Red,mens-shoes,119.99,4.97,4,17,Off White,MEN-OFF-SPO-091,7,1 week warranty,Ships in 3-5 business days,In Stock,30 days return policy,5,athletic shoes,14.37,23.44,12.84,Would buy again!
92,Sports Sneakers Off White Red,mens-shoes,109.99,0.04,4,62,Off White,MEN-OFF-SPO-092,9,3 months warranty,Ships overnight,In Stock,60 days return policy,3,casual shoes,21.43,9.86,28.5,Excellent quality!
93,Brown Leather Belt Watch,mens-watches,89.99,5.99,1,32,Fashion Timepieces,MEN-FAS-BRO-093,10,1 year warranty,Ships in 1 month,In Stock,30 days return policy,7,leather watches,16.65,6.15,20.18,Very unhappy with my purchase!
94,Longines Master Collection,mens-watches,1499.99,17.24,4,100,Longines,MEN-LON-LON-094,4,1 week warranty,Ships in 1-2 business days,In Stock,7 days return policy,1,luxury watches,15.39,10.06,20.32,Highly impressed!
95,Rolex Cellini Date Black Dial,mens-watches,8999.99,8.88,3,40,Rolex,MEN-ROL-ROL-095,2,3 months warranty,Ships in 1 week,In Stock,90 days return policy,1,luxury watches,13.46,26.1,17.9,Not worth the price!
96,Rolex Cellini Moonphase,mens-watches,12999.99,17.52,3,36,Rolex,MEN-ROL-ROL-096,2,6 months warranty,Ships overnight,In Stock,7 days return policy,1,luxury watches,26.06,25.19,13.17,Poor quality!
97,Rolex Datejust,mens-watches,10999.99,3.73,4,86,Rolex,MEN-ROL-ROL-097,4,2 year warranty,Ships in 1 month,In Stock,7 days return policy,1,luxury watches,23.11,19.97,27.04,Fast shipping!
98,Rolex Submariner Watch,mens-watches,13999.99,5.05,4,55,Rolex,MEN-ROL-ROL-098,4,5 year warranty,Ships in 1 month,In Stock,90 days return policy,1,luxury watches,17.69,12.48,8.75,Great value for money!
99,Amazon Echo Plus,mobile-accessories,99.99,12.07,2,61,Amazon,MOB-AMA-AMA-099,5,6 months warranty,Ships in 1 week,In Stock,7 days return policy,9,smart speakers,12.68,15.24,27.46,Would not recommend!
100,Apple Airpods,mobile-accessories,129.99,15.54,3,67,Apple,MOB-APP-APP-100,4,3 year warranty,Ships in 3-5 business days,In Stock,No return policy,4,wireless earphones,25.79,18.38,11.53,Would not buy again!
101,Apple AirPods Max Silver,mobile-accessories,549.99,13.67,5,59,Apple,MOB-APP-APP-101,2,No warranty,Ships in 2 weeks,In Stock,No return policy,1,over-ear headphones,24.88,14.9,27.54,Excellent quality!
102,Apple Airpower Wireless Charger,mobile-accessories,79.99,4.48,5,1,Apple,MOB-APP-APP-102,5,2 year warranty,Ships in 1 week,Low Stock,90 days return policy,7,wireless chargers,25.25,25.44,10.98,Would buy again!
103,Apple HomePod Mini Cosmic Grey,mobile-accessories,99.99,18.1,5,27,Apple,MOB-APP-APP-103,10,3 months warranty,Ships in 1 month,In Stock,90 days return policy,8,smart speakers,16.02,29.2,19.81,Great product!
104,Apple iPhone Charger,mobile-accessories,19.99,18.52,1,31,Apple,MOB-APP-APP-104,1,1 year warranty,Ships in 2 weeks,In Stock,90 days return policy,14,chargers,13.63,26.25,5.95,Very disappointed!
105,Apple MagSafe Battery Pack,mobile-accessories,99.99,17.17,2,1,Apple,MOB-APP-APP-105,6,2 year warranty,Ships overnight,Low Stock,No return policy,4,power banks,15.4,11.89,19.67,Would not recommend!
106,Apple Watch Series 4 Gold,mobile-accessories,349.99,12.02,3,33,Apple,MOB-APP-APP-106,6,6 months warranty,Ships in 1 month,In Stock,No return policy,3,smartwatches,27.69,28.03,7.11,Very unhappy with my purchase!
107,Beats Flex Wireless Earphones,mobile-accessories,49.99,5.73,2,50,Beats,MOB-BEA-BEA-107,8,1 year warranty,Ships in 1-2 business days,In Stock,7 days return policy,17,wireless earphones,17.86,25.74,23.09,Disappointing product!
108,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,29.99,13.85,2,69,Apple,MOB-APP-IPH-108,7,3 months warranty,Ships in 3-5 business days,In Stock,90 days return policy,4,phone accessories,12.49,11.29,23.52,Would not buy again!
109,Monopod,mobile-accessories,19.99,8.58,1,48,TechGear,MOB-TEC-MON-109,10,1 year warranty,Ships in 1-2 business days,In Stock,60 days return policy,30,camera accessories,8.8,12.93,21.1,Not worth the price!
110,Selfie Lamp with iPhone,mobile-accessories,14.99,19.4,4,58,GadgetMaster,MOB-GAD-SEL-110,10,Lifetime warranty,Ships in 2 weeks,In Stock,60 days return policy,22,selfie accessories,5.26,13.84,22.83,Highly recommended!
111,Selfie Stick Monopod,mobile-accessories,12.99,19.12,4,11,SnapTech,MOB-SNA-SEL-111,2,3 year warranty,Ships in 1-2 business days,In Stock,30 days return policy,8,selfie accessories,24.76,26.38,21.39,Great product!
112,TV Studio Camera Pedestal,mobile-accessories,499.99,8.31,3,15,ProVision,MOB-PRO-STU-112,4,3 months warranty,Ships in 1-2 business days,In Stock,7 days return policy,1,camera accessories,29.84,11.01,6.81,Would not recommend!
113,Generic Motorcycle,motorcycle,3999.99,12.1,5,34,Generic Motors,MOT-GEN-GEN-113,8,1 year warranty,Ships in 2 weeks,In Stock,7 days return policy,1,None,26.23,14.04,17.87,Highly impressed!
114,Kawasaki Z800,motorcycle,8999.99,9.77,4,52,Kawasaki,MOT-KAW-KAW-114,9,Lifetime warranty,Ships in 3-5 business days,In Stock,90 days return policy,1,sportbikes,18.3,18.27,16.06,Highly impressed!
115,MotoGP CI.H1,motorcycle,14999.99,6.92,4,10,MotoGP,MOT-MOT-MOT-115,1,1 month warranty,Ships in 3-5 business days,In Stock,30 days return policy,1,sportbikes,19.33,17.31,12.05,Awesome product!
116,Scooter Motorcycle,motorcycle,2999.99,6.27,4,84,ScootMaster,MOT-SCO-SCO-116,7,5 year warranty,Ships overnight,In Stock,7 days return policy,1,scooters,27.31,19.34,26.72,Highly recommended!
117,Sportbike Motorcycle,motorcycle,7499.99,11.58,5,0,SpeedMaster,MOT-SPE-SPO-117,10,5 year warranty,Ships in 2 weeks,Out of Stock,30 days return policy,1,sportbikes,22.5,22.74,8.38,Highly impressed!
118,Attitude Super Leaves Hand Soap,skin-care,8.99,18.49,5,94,Attitude,SKI-ATT-ATT-118,1,6 months warranty,Ships overnight,In Stock,60 days return policy,41,hand soap,14.05,8.3,16.62,Very satisfied!
119,Olay Ultra Moisture Shea Butter Body Wash,skin-care,12.99,16.39,4,34,Olay,SKI-OLA-OLA-119,4,1 year warranty,Ships in 1-2 business days,In Stock,30 days return policy,33,body wash,25.23,28.33,11.89,Very satisfied!
120,Vaseline Men Body and Face Lotion,skin-care,9.99,13.39,4,95,Vaseline,SKI-VAS-VAS-120,4,Lifetime warranty,Ships overnight,In Stock,90 days return policy,9,body lotion,21.83,17.38,24.76,Excellent quality!
121,iPhone 5s,smartphones,199.99,12.91,5,25,Apple,SMA-APP-IPH-121,2,Lifetime warranty,Ships in 1 month,In Stock,60 days return policy,3,apple,5.29,18.38,17.72,Highly recommended!
122,iPhone 6,smartphones,299.99,6.69,3,60,Apple,SMA-APP-IPH-122,7,1 month warranty,Ships overnight,In Stock,7 days return policy,5,apple,11.0,9.1,9.67,Disappointing product!
123,iPhone 13 Pro,smartphones,1099.99,9.37,5,56,Apple,SMA-APP-IPH-123,8,3 year warranty,Ships in 2 weeks,In Stock,7 days return policy,1,apple,12.63,5.28,14.29,Would buy again!
124,iPhone X,smartphones,899.99,19.59,4,37,Apple,SMA-APP-IPH-124,1,3 months warranty,Ships in 3-5 business days,In Stock,7 days return policy,2,apple,21.88,24.19,14.19,Highly recommended!
125,Oppo A57,smartphones,249.99,2.43,4,19,Oppo,SMA-OPP-OPP-125,5,Lifetime warranty,Ships in 3-5 business days,In Stock,90 days return policy,3,oppo,7.2,10.74,23.68,Excellent quality!
126,Oppo F19 Pro Plus,smartphones,399.99,18.64,5,78,Oppo,SMA-OPP-OPP-126,6,3 year warranty,Ships in 1 week,In Stock,90 days return policy,1,oppo,6.78,25.17,8.4,Very happy with my purchase!
127,Oppo K1,smartphones,299.99,18.29,4,55,Oppo,SMA-OPP-OPP-127,5,1 month warranty,Ships in 1-2 business days,In Stock,30 days return policy,5,oppo,13.89,10.63,16.6,Very pleased!
128,Realme C35,smartphones,149.99,15.3,4,48,Realme,SMA-REA-REA-128,2,3 year warranty,Ships overnight,In Stock,90 days return policy,3,realme,25.28,8.14,29.53,Great product!
129,Realme X,smartphones,299.99,6.95,5,12,Realme,SMA-REA-REA-129,4,1 month warranty,Ships in 3-5 business days,In Stock,No return policy,3,realme,25.59,21.42,12.75,Would buy again!
130,Realme XT,smartphones,349.99,11.51,4,80,Realme,SMA-REA-REA-130,3,3 year warranty,Ships in 1 month,In Stock,60 days return policy,3,realme,24.98,26.73,6.5,Very satisfied!
